,AC_POWER
0,0.0
68777,0.0
68778,0.0
68779,0.0
68780,0.0
68781,0.0
68782,0.0
68783,0.0
68785,0.0
68786,0.0
68787,0.0
68788,0.0
68789,0.0
68790,0.0
68791,0.0
68792,0.0
68793,0.0
68794,0.0
68795,0.0
68774,0.0
68776,0.0
68775,0.0
68784,0.0
11,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
20,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
1,0.0
19,0.0
22,0.0
23,0.0
68798,0.0
68799,0.0
68817,0.0
68816,0.0
68815,0.0
68814,0.0
68813,0.0
68812,0.0
68811,0.0
68810,0.0
68797,0.0
68809,0.0
68807,0.0
68806,0.0
68805,0.0
68804,0.0
68803,0.0
68802,0.0
68801,0.0
68800,0.0
68808,0.0
21,0.0
68796,0.0
24,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
26,0.0
34,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
35,0.0
25,0.0
33,0.0
68820,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
68839,0.0
58,0.0
59,0.0
60,0.0
44,0.0
43,0.0
42,0.0
68837,0.0
68819,0.0
68818,0.0
68822,0.0
68823,0.0
68824,0.0
68825,0.0
68826,0.0
68827,0.0
68821,0.0
68828,0.0
61,0.0
68830,0.0
68831,0.0
68832,0.0
68833,0.0
68834,0.0
68835,0.0
68836,0.0
68829,0.0
62,0.0
68838,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
65,0.0
77,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
67,0.0
63,0.0
64,0.0
78,0.0
68861,0.0
66,0.0
68859,0.0
68860,0.0
68857,0.0
68856,0.0
68855,0.0
68854,0.0
68853,0.0
68852,0.0
68851,0.0
68850,0.0
68849,0.0
68848,0.0
68847,0.0
68846,0.0
68845,0.0
68844,0.0
68843,0.0
68842,0.0
68841,0.0
68840,0.0
68858,0.0
68882,0.0
68879,0.0
85,0.0
84,0.0
68863,0.0
68864,0.0
68865,0.0
68866,0.0
68867,0.0
68868,0.0
68869,0.0
68870,0.0
68871,0.0
68872,0.0
